histBlockSize, newPixelBlockSize, mapPixelBlockSize, avgHistogramMs, avgNewPixelMs, avgMapPixelMs
32, 32, 32, 0.753242, 0.075264, 0.079761
64, 64, 64, 0.309822, 0.045474, 0.050786
96, 96, 96, 0.212823, 0.035305, 0.041513
128, 128, 128, 0.163753, 0.030720, 0.036179
160, 160, 160, 0.134492, 0.028002, 0.033227
192, 192, 192, 0.114980, 0.025086, 0.031392
224, 224, 224, 0.102453, 0.025101, 0.031010
256, 256, 256, 0.091057, 0.024158, 0.029517
288, 288, 288, 0.083601, 0.023699, 0.029961
320, 320, 320, 0.076335, 0.023089, 0.029779
352, 352, 352, 0.071157, 0.023023, 0.030334
384, 384, 384, 0.067646, 0.019475, 0.030076
416, 416, 416, 0.063247, 0.022035, 0.030722
448, 448, 448, 0.059712, 0.022799, 0.030586
480, 480, 480, 0.057173, 0.019699, 0.030692
512, 512, 512, 0.055605, 0.020343, 0.030839
544, 544, 544, 0.053237, 0.024009, 0.031347
576, 576, 576, 0.051268, 0.021670, 0.031379
608, 608, 608, 0.049794, 0.020222, 0.031074
640, 640, 640, 0.048934, 0.021372, 0.030861
672, 672, 672, 0.050321, 0.021519, 0.032764
704, 704, 704, 0.048218, 0.025884, 0.034283
736, 736, 736, 0.044546, 0.024066, 0.032821
768, 768, 768, 0.044233, 0.024073, 0.032860
800, 800, 800, 0.042490, 0.023921, 0.032314
832, 832, 832, 0.042174, 0.023953, 0.032499
864, 864, 864, 0.041303, 0.024000, 0.032209
896, 896, 896, 0.040365, 0.020890, 0.031808
928, 928, 928, 0.040100, 0.023546, 0.032113
960, 960, 960, 0.039189, 0.021227, 0.031808
992, 992, 992, 0.038967, 0.020627, 0.031925
1024, 1024, 1024, 0.039287, 0.020486, 0.031635
